,Date,states,Lst_price,sret,mkt_cret,Ticker
739,2019-01-02,0,1.2607,-0.011592732643947626,-0.1518931504650276,GBPUSD
740,2019-01-03,0,1.2628,0.0016643554466128868,-0.1502287950184147,GBPUSD
741,2019-01-04,0,1.2723,0.007494808464818236,-0.14273398655359648,GBPUSD
742,2019-01-07,0,1.2777,0.004235300448622722,-0.13849868610497376,GBPUSD
743,2019-01-08,0,1.2717,-0.004706998570576364,-0.14320568467555012,GBPUSD
744,2019-01-09,0,1.2789,0.005645745412573122,-0.137559939262977,GBPUSD
745,2019-01-10,0,1.2747,-0.0032894766503987574,-0.14084941591337574,GBPUSD
746,2019-01-11,0,1.2844,0.0075808264264833,-0.13326858948689244,GBPUSD
747,2019-01-14,0,1.2864,0.0015559362093429945,-0.13171265327754944,GBPUSD
748,2019-01-15,0,1.2861,-0.00023323615266076695,-0.1319458894302102,GBPUSD
749,2019-01-16,0,1.2885,0.0018643678203785544,-0.13008152160983166,GBPUSD
750,2019-01-17,0,1.2986,0.0078080099819666645,-0.122273511627865,GBPUSD
751,2019-01-18,0,1.2872,-0.008817444396213021,-0.13109095602407803,GBPUSD
752,2019-01-22,0,1.2954,0.006350211070643313,-0.1247407449534347,GBPUSD
753,2019-01-23,0,1.3069,0.008838392854173338,-0.11590235209926136,GBPUSD
754,2019-01-24,0,1.3066,-0.00022957719634022334,-0.11613192929560158,GBPUSD
755,2019-01-25,0,1.3196,0.009900316947776523,-0.10623161234782505,GBPUSD
756,2019-01-28,0,1.3163,-0.002503889923064353,-0.1087355022708894,GBPUSD
757,2019-01-29,0,1.3066,-0.007396427024712048,-0.11613192929560145,GBPUSD
758,2019-01-30,0,1.3116,0.003819422563843321,-0.11231250673175813,GBPUSD
759,2019-01-31,0,1.3109,-0.0005338417667297316,-0.11284634849848786,GBPUSD
760,2019-02-01,0,1.3079,-0.0022911267086567853,-0.11513747520714465,GBPUSD
761,2019-02-04,0,1.3037,-0.0032164218263735595,-0.11835389703351822,GBPUSD
762,2019-02-05,0,1.2945,-0.007081855477140781,-0.125435752510659,GBPUSD
763,2019-02-06,0,1.2932,-0.0010047533403144252,-0.1264405058509734,GBPUSD
764,2019-02-07,0,1.2952,0.0015453565121472874,-0.12489514933882613,GBPUSD
765,2019-02-08,0,1.2944,-0.0006178560591980296,-0.12551300539802415,GBPUSD
766,2019-02-11,0,1.2855,-0.006899519598283019,-0.13241252499630718,GBPUSD
767,2019-02-12,0,1.2892,0.0028741232353385357,-0.12953840176096865,GBPUSD
768,2019-02-13,0,1.2846,-0.003574485117590654,-0.1331128868785593,GBPUSD
769,2019-02-14,0,1.2803,-0.00335296037155874,-0.13646584725011804,GBPUSD
770,2019-02-15,0,1.2889,0.006694715958600503,-0.12977113129151754,GBPUSD
771,2019-02-19,0,1.3062,0.013333017057823046,-0.1164381142336945,GBPUSD
772,2019-02-20,0,1.305,-0.0009191177117630576,-0.11735723194545757,GBPUSD
773,2019-02-21,0,1.3043,-0.0005365423805563384,-0.1178937743260139,GBPUSD
774,2019-02-22,0,1.3053,0.0007664010185066742,-0.11712737330750723,GBPUSD
775,2019-02-25,0,1.3097,0.003365203940613284,-0.11376216936689396,GBPUSD
776,2019-02-26,0,1.3252,0.011765288090383493,-0.10199688127651046,GBPUSD
777,2019-02-27,0,1.3309,0.004292013666769662,-0.0977048676097408,GBPUSD
778,2019-02-28,0,1.3263,-0.003462294592203144,-0.10116716220194394,GBPUSD
779,2019-03-01,0,1.3202,-0.004609870245636755,-0.10577703244758069,GBPUSD
780,2019-03-04,0,1.318,-0.001667804192217878,-0.10744483663979856,GBPUSD
781,2019-03-05,0,1.3178,-0.0001517565827330324,-0.1075965932225316,GBPUSD
782,2019-03-06,0,1.317,-0.0006072567364385452,-0.10820384995897014,GBPUSD
783,2019-03-07,0,1.3085,-0.006474979773080468,-0.11467882973205061,GBPUSD
784,2019-03-08,0,1.3015,-0.005363997535580422,-0.12004282726763103,GBPUSD
785,2019-03-11,0,1.315,0.010319220177244749,-0.10972360709038628,GBPUSD
786,2019-03-12,0,1.3075,-0.005719748672786841,-0.11544335576317312,GBPUSD
787,2019-03-13,0,1.3338,0.019915094259127877,-0.09552826150404524,GBPUSD
788,2019-03-14,0,1.3242,-0.007223507707460247,-0.10275176921150549,GBPUSD
789,2019-03-15,0,1.329,0.0036182762224996126,-0.09913349298900587,GBPUSD
790,2019-03-18,0,1.3255,-0.0026370329841651713,-0.10177052597317104,GBPUSD
791,2019-03-19,0,1.3268,0.0009802813438172012,-0.10079024462935385,GBPUSD
792,2019-03-20,0,1.3198,-0.005289818123575981,-0.10608006275292983,GBPUSD
793,2019-03-21,0,1.3107,-0.006918864323821419,-0.11299892707675126,GBPUSD
794,2019-03-22,0,1.3209,0.007751976804317924,-0.10524695027243333,GBPUSD
795,2019-03-25,0,1.3195,-0.0010604454864390803,-0.10630739575887241,GBPUSD
796,2019-03-26,0,1.3212,0.0012875375732559328,-0.10501985818561647,GBPUSD
797,2019-03-27,0,1.3189,-0.0017423586847954086,-0.10676221687041189,GBPUSD
798,2019-03-28,0,1.3044,-0.011054890916675036,-0.11781710778708693,GBPUSD
799,2019-03-29,0,1.3035,-0.0006902105416076043,-0.11850731832869453,GBPUSD
800,2019-04-01,0,1.3103,0.005203164236983144,-0.11330415409171139,GBPUSD
801,2019-04-02,0,1.3128,0.0019061421653416017,-0.11139801192636979,GBPUSD
802,2019-04-03,0,1.3158,0.0022825848760164775,-0.10911542705035332,GBPUSD
803,2019-04-04,0,1.3077,-0.006174976739440874,-0.11529040378979419,GBPUSD
804,2019-04-05,0,1.3038,-0.0029867914220176356,-0.11827719521181182,GBPUSD
805,2019-04-08,0,1.3061,0.0017625200930365104,-0.11651467511877531,GBPUSD
806,2019-04-09,0,1.3052,-0.0006893118643100159,-0.11720398698308532,GBPUSD
807,2019-04-10,0,1.3091,0.0029835924668877864,-0.11422039451619753,GBPUSD
808,2019-04-11,0,1.3058,-0.002523998433520099,-0.11674439294971763,GBPUSD
809,2019-04-12,0,1.3074,0.001224552426095866,-0.11551984052362176,GBPUSD
810,2019-04-15,0,1.31,0.001986705016568266,-0.11353313550705349,GBPUSD
811,2019-04-16,0,1.3048,-0.0039773648883931825,-0.11751050039544667,GBPUSD
812,2019-04-17,0,1.3043,-0.0003832739305666318,-0.11789377432601329,GBPUSD
813,2019-04-18,0,1.2991,-0.003994781374550268,-0.12188855570056356,GBPUSD
814,2019-04-23,0,1.2938,-0.004088092391802043,-0.1259766480923656,GBPUSD
815,2019-04-24,0,1.2902,-0.002786379511743779,-0.1287630276041094,GBPUSD
816,2019-04-25,0,1.2899,-0.00023254912705081266,-0.12899557673116022,GBPUSD
817,2019-04-26,0,1.2916,0.0013170639130297267,-0.1276785128181305,GBPUSD
818,2019-04-29,0,1.2937,0.0016245700397360425,-0.12605394277839446,GBPUSD
819,2019-04-30,0,1.3032,0.007316448363978972,-0.11873749441441549,GBPUSD
820,2019-05-01,0,1.305,0.0013802624689584903,-0.117357231945457,GBPUSD
821,2019-05-02,0,1.3032,-0.001380262468958458,-0.11873749441441546,GBPUSD
822,2019-05-03,0,1.3173,0.010761408947946147,-0.10797608546646931,GBPUSD
823,2019-05-07,0,1.3075,-0.0074672702967033475,-0.11544335576317266,GBPUSD
824,2019-05-08,0,1.3006,-0.005291220504026645,-0.1207345762671993,GBPUSD
825,2019-05-09,0,1.3014,0.0006149116258321873,-0.12011966464136711,GBPUSD
826,2019-05-10,0,1.2998,-0.0012302016006349983,-0.12134986624200211,GBPUSD
827,2019-05-13,0,1.2958,-0.003082141444391611,-0.12443200768639373,GBPUSD
828,2019-05-14,0,1.2905,-0.004098524857188404,-0.12853053254358213,GBPUSD
829,2019-05-15,0,1.2845,-0.004660202608730319,-0.13319073515231244,GBPUSD
